no,contract_no,contract_date,name,contract_amount,bond_amount,bond_returned,start_date,end_date,handover_date,bond_kind
1,8/2565,12/7/2565,ปรับปรุงอาคารสำนักงานอัยการจังหวัดแพร่,2748200,,√,13/7/2565,14/12/2565,31/1/2566,หนังสือค้ำ
2,1/2566,28/10/2565,ปรับปรุงห้องทำงานส่วนควบคุมอาคารและผังเมือง สำนักการช่าง,1693536,84677,84677,29/10/2565,25/2/2566,28/2/2566,สด
3,c1/2566,31/10/2565,ปรับปรุงอาคารที่ทำการและสิ่งก่อสร้างประกอบของสำนักงานพาณิชย์จังหวัดเชียงใหม่ (ตรวจชื่อเต็ม),2998000,149900,149900,1/11/2565,28/2/2566,17/3/2566,สด
4,40/2566,7/3/2566,ตกแต่งภายในอาคารสำนักงานเทศบาลตำบลหนองจ๊อม,1505000,75250,75250,8/3/2566,5/6/2566,17/7/2566,สด
5,183/2566,8/5/2566,ปรับปรุงสำนักงาน งานทุนการศึกษาและสร้างเสริมสุขภาวะ ชั้น ๑ อาคารกองพัฒนานักศึกษา (ตรวจชื่อเต็ม),2515000,,,9/5/2566,6/8/2566,15/8/2566,หนังสือค้ำ
6,19/2566,4/8/2566,ปรับปรุงห้องทำงานส่วนควบคุมการก่อสร้าง,1855000,,,5/8/2566,2/12/2566,14/12/2566,หนังสือค้ำ
7,20/2566,19/9/2566,ปรับปรุงอาคารส่งเสริมและพัฒนาคุณภาพชีวิต ผู้สูงอายุเทศบาลตำบลเกาะคา,399500,19975,19975,20/9/2566,18/12/2566,11/3/2567,สด
8,01/2567,27/9/2566,ปรับปรุงก่อสร้างศูนย์บริการคนพิการจังหวัดลำปาง,1270000,,√,28/9/2566,25/1/2567,25/1/2567,หนังสือค้ำ
9,ร 12/2566,27/9/2566,ปรับปรุงศูนย์ออกแบบและให้คำปรึกษางานสถาปัตยกรรม มช,580000,29000,29000,2/10/2566,30/12/2566,2/1/2567,สด
10,67/2567,10/1/2567,ปรับปรุงห้องพิเศษผู้ป่วยใน โรงพยาบาลแม่เมาะ,1810000,90500,,11/1/2567,8/6/2567,10/6/2567,สด
11,พ.084/2567,22/1/2567,ปรับปรุงศูนย์สารสนเทศชีวการแพทย์ ชั้น 8 อาคารเรียนรวม,898373.84,45000,,1/2/2567,30/5/2567,7/6/2567,สด
12,123/2567,19/4/2567,จัดตั้งศูนย์เทคโนโลยีสารสนเทศองค์การบริหารส่วนจังหวัดลำปาง,520000,26000,,20/4/2567,18/7/2567,18/7/2567,สด
